"","DATE","PRODUCT","EX_REFIN","EXCISE_TAX","M_TAX","OIL_FUND","CONSV_FUND","WHOLESALE","VAT_WS","WS_VAT","MARKETING_MARGIN","VAT_MM","RETAIL","EX_RATE","FILE","DISCOUNT","OIL_FUND_2"
"1",2004-09-07,"ULG 95R ; UNL",13.0306,3.685,0.3685,0.5,0.04,18.8145,1.317,20.1315,1.55,0.1085,21.79,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,1.1904
"2",2004-09-07,"ULG 91R ; UNL",12.5642,3.685,0.3685,0.3,0.04,18.0668,1.2647,19.3315,1.55,0.1085,20.99,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,1.1091
"3",2004-09-07,"GASOHOL",12.9472,3.3165,0.3317,0.27,0.036,18.3472,1.2843,19.6315,1.55,0.1085,21.29,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,1.4458
"4",2004-09-07,"KEROSENE",13.2086,3.055,0.3055,0.1,0.04,16.7091,1.1696,17.8787,1.8356,0.1285,19.84,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,0
"5",2004-09-07,"HDIESEL(0.05%S)",13.9818,2.305,0.2305,0.5,0.04,12.5855,0.881,13.4665,1.05,0.0735,14.59,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,-4.4718
"6",2004-09-07,"L-DIESEL",12.9996,2.405,0.2405,0.5,0.04,11.7264,0.8208,12.5472,1.7063,0.1194,14.37,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,-4.4587
"7",2004-09-07,"FUEL600 (1) 2%S",8.8114,0.456,0.0456,0.06,0.04,9.413,0.6589,10.0719,1.7044,0.0752,11.22,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,0
"8",2004-09-07,"FUEL1500 (2) 2%S",7.9978,0.4181,0.0418,0.06,0.04,8.5578,0.599,9.1568,1.2348,0.0864,10.48,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,0
"9",2004-09-07,"LPG-LARGE(B/KG.)",13.1373,2.17,0.217,-3.0674,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,0
"10",2004-09-07,"LPG-SMALL(B/KG.)",13.1373,2.17,0.217,-3.0674,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,41.7509,"2310_bdc2dacae15c7b21e805323436a46eb4.xlsx",NA,0
