dataset_id,agency,version,dsd_id,dimension_order,category_label,dimension_roles
CPI,IMF.STA,5.0.0,DSD_CPI,"COUNTRY,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,FREQUENCY","Consumer Prices (IMF)","country,variant,component,variant,fixed"
CPI_WCA,IMF.STA,3.0.0,DSD_CPI_WCA,"COUNTRY,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,FREQUENCY","CPI World & Regional Aggregates (IMF)","country,variant,component,variant,fixed"
CTOT,IMF.RES,5.0.1,DSD_CTOT,"COUNTRY,INDICATOR,WGT_TYPE,FREQUENCY","Terms of Trade (IMF)","country,component,variant,fixed"
EER,IMF.STA,6.0.0,DSD_EER,"COUNTRY,INDICATOR,FREQUENCY","Effective Exchange Rates (IMF)","country,component,fixed"
ER,IMF.STA,4.0.1,DSD_ER_PUB,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Exchange Rates (IMF)","country,component,variant,fixed"
IL,IMF.STA,13.0.1,DSD_IL,"COUNTRY,INDICATOR,UNIT,FREQUENCY","International Liquidity & Reserves (IMF)","country,component,variant,fixed"
ITG,IMF.STA,4.0.0,DSD_ITG,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","International Trade in Goods (IMF)","country,component,variant,fixed"
MFS_CBS,IMF.STA,24.0.0,DSD_MFS_CBS,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Money & Banking — Central Bank (IMF)","country,component,variant,fixed"
MFS_FC,IMF.STA,9.0.0,DSD_MFS_FCS,"COUNTRY,INDICATOR,UNIT,FREQUENCY","Money & Banking — Financial Corporations (IMF)","country,component,variant,fixed"
MFS_FMP,IMF.STA,3.0.0,DSD_MFS_FMP,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Financial Market Prices (IMF)","country,component,variant,fixed"
MFS_IR,IMF.STA,9.0.0,DSD_MFS_IR,"COUNTRY,INDICATOR,FREQUENCY","Interest Rates (IMF)","country,component,fixed"
MFS_MA,IMF.STA,10.0.1,DSD_MFS_MA,"COUNTRY,INDICATOR,UNIT,FREQUENCY","Monetary Aggregates (IMF)","country,component,variant,fixed"
MFS_ODC,IMF.STA,10.0.0,DSD_MFS_ODC,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Money & Banking — Other Depository Corp. (IMF)","country,component,variant,fixed"
MFS_OFC,IMF.STA,7.0.0,DSD_MFS_OFC,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Money & Banking — Other Financial Corp. (IMF)","country,component,variant,fixed"
PCPS,IMF.RES,9.0.0,DSD_PCPS,"COUNTRY,INDICATOR,DATA_TRANSFORMATION,FREQUENCY","Primary Commodity Prices (IMF)","country,component,variant,fixed"
PI,IMF.STA,2.0.0,DSD_IPI,"COUNTRY,PRODUCTION_INDEX,TYPE_OF_TRANSFORMATION,FREQUENCY","Production Index (IMF)","country,component,variant,fixed"
PI_WCA,IMF.STA,1.0.0,DSD_IPI,"COUNTRY,PRODUCTION_INDEX,TYPE_OF_TRANSFORMATION,FREQUENCY","Production Index World & Regional Aggregates (IMF)","country,component,variant,fixed"
PPI,IMF.STA,3.0.0,DSD_PPI,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Producer Prices (IMF)","country,component,variant,fixed"
QGDP_WCA,IMF.STA,4.0.0,DSD_QGDP_WCA,"COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY","Quarterly GDP World & Regional Aggregates (IMF)","country,component,variant,fixed"
QNEA,IMF.STA,7.0.0,DSD_QNEA,"COUNTRY,INDICATOR,PRICE_TYPE,S_ADJUSTMENT,TYPE_OF_TRANSFORMATION,FREQUENCY","GDP & National Accounts (IMF)","country,component,variant,variant,variant,fixed"
