iso3,index_type
AFG,CPI
ALB,CPI
DZA,CPI
AGO,CPI
ATG,CPI
ARG,CPI
ARM,CPI
ABW,CPI
AUS,CPI
AUT,HICP
AZE,CPI
BHS,CPI
BHR,CPI
BGD,CPI
BRB,CPI
BLR,CPI
BEL,HICP
BLZ,CPI
BEN,CPI
BTN,CPI
BOL,CPI
BIH,CPI
BWA,CPI
BRA,CPI
VGB,CPI
BRN,CPI
BGR,HICP
BFA,CPI
BDI,CPI
CPV,CPI
KHM,CPI
CMR,CPI
CAN,CPI
CAF,CPI
TCD,CPI
CHL,CPI
CHN,CPI
COL,CPI
COM,CPI
COD,CPI
COG,CPI
CRI,CPI
HRV,HICP
CUW,CPI
CYP,HICP
CZE,HICP
CIV,CPI
DNK,HICP
DJI,CPI
DMA,CPI
DOM,CPI
ECU,CPI
EGY,CPI
SLV,CPI
GNQ,CPI
EST,HICP
SWZ,CPI
ETH,CPI
FJI,CPI
FIN,HICP
FRA,HICP
GAB,CPI
GMB,CPI
GEO,CPI
DEU,CPI
GHA,CPI
GRC,HICP
GRD,CPI
GLP,CPI
GTM,CPI
GIN,CPI
GNB,CPI
GUY,CPI
HTI,CPI
HND,CPI
HKG,CPI
HUN,HICP
ISL,HICP
IND,CPI
IDN,CPI
IRN,CPI
IRQ,CPI
IRL,CPI
ISR,CPI
ITA,CPI
JAM,CPI
JPN,CPI
JOR,CPI
KAZ,CPI
KEN,CPI
KIR,CPI
KOR,CPI
KOS,CPI
KWT,CPI
KGZ,CPI
LAO,CPI
LVA,HICP
LBN,CPI
LSO,CPI
LBR,CPI
LBY,CPI
LTU,CPI
LUX,HICP
MAC,CPI
MDG,CPI
MWI,CPI
MYS,CPI
MDV,CPI
MLI,CPI
MLT,HICP
MTQ,CPI
MRT,CPI
MUS,CPI
MEX,CPI
MDA,CPI
MNG,CPI
MNE,CPI
MSR,CPI
MAR,CPI
MOZ,CPI
MMR,CPI
NAM,CPI
NRU,CPI
NPL,CPI
NLD,HICP
NCL,CPI
NIC,CPI
NER,CPI
NGA,CPI
MKD,CPI
NOR,HICP
OMN,CPI
PAK,CPI
PAN,CPI
PRY,CPI
PER,CPI
PHL,CPI
POL,HICP
PRT,HICP
QAT,CPI
ROU,HICP
RUS,CPI
RWA,CPI
WSM,CPI
SMR,CPI
SAU,CPI
SEN,CPI
SRB,CPI
SYC,CPI
SLE,CPI
SGP,CPI
SXM,CPI
SVK,HICP
SVN,HICP
SLB,CPI
SOM,CPI
ZAF,CPI
SSD,CPI
ESP,HICP
LKA,CPI
KNA,CPI
LCA,CPI
VCT,CPI
SDN,CPI
SUR,CPI
SWE,HICP
CHE,HICP
SYR,CPI
STP,CPI
TJK,CPI
TZA,CPI
THA,CPI
TLS,CPI
TGO,CPI
TON,CPI
TTO,CPI
TUN,CPI
TUR,HICP
UGA,CPI
UKR,CPI
ARE,CPI
GBR,CPI
USA,CPI
URY,CPI
UZB,CPI
VEN,CPI
VNM,CPI
WBG,CPI
YEM,CPI
ZMB,CPI
ZWE,CPI
