doc_id,country_code,country_label,category_code,category_label
BOT_SET_BOT,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
BOT_NPL,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BOT_HHDEBT_GDP,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BOT_EXTDEBT_GDP,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BOT_RESERVES_STDEBT,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BOT_M2,THA,Thailand,MONETARY_EXCHANGE_RATE,Monetary & Exchange rate
BOT_RESERVES,THA,Thailand,MONETARY_EXCHANGE_RATE,Monetary & Exchange rate
BOT_FWDPOS,THA,Thailand,MONETARY_EXCHANGE_RATE,Monetary & Exchange rate
BOT_GOVDEBT,THA,Thailand,GOVERNMENT_FINANCE,Government Finance
BOT_CASHBAL,THA,Thailand,GOVERNMENT_FINANCE,Government Finance
BOT_USDTHB,THA,Thailand,MONETARY_EXCHANGE_RATE,Monetary & Exchange rate
BOT_LEI,THA,Thailand,ECONOMIC_ACTIVITY,Economic Activity
BOT_BSI,THA,Thailand,ECONOMIC_ACTIVITY,Economic Activity
BOT_PCI,THA,Thailand,ECONOMIC_ACTIVITY,Economic Activity
BOT_PII,THA,Thailand,ECONOMIC_ACTIVITY,Economic Activity
BOT_UNEMP,THA,Thailand,ECONOMIC_ACTIVITY,Economic Activity
BOT_TOURIST,THA,Thailand,ECONOMIC_ACTIVITY,Economic Activity
BOT_EXPORT,THA,Thailand,EXTERNAL_TRADE_BOP,External Trade & BOP
BOT_IMPORT,THA,Thailand,EXTERNAL_TRADE_BOP,External Trade & BOP
BOT_TRADEBAL,THA,Thailand,EXTERNAL_TRADE_BOP,External Trade & BOP
BOT_CURACC,THA,Thailand,EXTERNAL_TRADE_BOP,External Trade & BOP
THAIBMA_YIELD_1M,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_3M,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_6M,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_1Y,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_2Y,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_5Y,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_10Y,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
THAIBMA_YIELD_20Y,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_AGRO,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_CONSUMP,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_FINCIAL,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_INDUS,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_PROPCON,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_RESOURC,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_SERVICE,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_TECH,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_BANK,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_ENERG,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_FOOD,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_HELTH,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_ICT,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_INSUR,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_PETRO,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_PROP,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_TRANS,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_TOURISM,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_COMM,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_CONMAT,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_STEEL,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_FIN,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
SET_AGRI,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
BIS_TH_CBPOL,THA,Thailand,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
BIS_TH_CREDIT_GAP,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_TH_CREDIT_PRIVATE_GDP,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_TH_CREDIT_HH_GDP,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_TH_CREDIT_CORP_GDP,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_TH_RPP_REAL,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_TH_RPP_NOMINAL,THA,Thailand,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_US_CBPOL,USA,United States,FINANCIAL_MARKET_EQUITY_BONDS,"Financial Market, Equity & Bonds"
BIS_US_CREDIT_GAP,USA,United States,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_US_CREDIT_PRIVATE_GDP,USA,United States,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_US_CREDIT_HH_GDP,USA,United States,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_US_CREDIT_CORP_GDP,USA,United States,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
BIS_US_RPP_REAL,USA,United States,CREDIT_FINANCIAL_STABILITY,Credit & Financial Stability
