"","DATE","BASE_PRODUCT","PRODUCT_CLEAN","EX_REFIN","EXCISE_TAX","M_TAX","OIL_FUND","CONSV_FUND","VAT_WS","MARKETING_MARGIN","VAT_MM","RETAIL","WHOLESALE","EX_RATE"
"1",2013-03-07,"DIESEL","H-DIESEL",24.57005,0.005,5e-04,1.5,0.25,1.8427885,1.70248738317757,0.11917411682243,29.99,26.32555,29.8841
"2",2013-03-11,"DIESEL","H-DIESEL",24.56435,0.005,5e-04,1.5,0.25,1.8423895,1.70818738317757,0.11957311682243,29.99,26.31985,29.8858
"3",2013-03-12,"DIESEL","H-DIESEL",24.473635,0.005,5e-04,1.5,0.25,1.83603945,1.79890238317757,0.12592316682243,29.99,26.229135,29.8981
"4",2013-03-13,"DIESEL","H-DIESEL",24.236135,0.005,5e-04,1.8,0.25,1.84041445,1.73640238317757,0.12154816682243,29.99,26.291635,29.8981
"5",2013-03-14,"DIESEL","H-DIESEL",24.231575,0.005,5e-04,1.8,0.25,1.84009525,1.74096238317757,0.12186736682243,29.99,26.287075,29.7549
"6",2013-03-15,"DIESEL","H-DIESEL",24.113585,0.005,5e-04,1.8,0.25,1.83183595,1.85895238317757,0.13012666682243,29.99,26.169085,29.7727
"7",2013-03-18,"DIESEL","H-DIESEL",23.965085,0.005,5e-04,1.8,0.25,1.82144095,2.00745238317757,0.14052166682243,29.99,26.020585,29.7238
"8",2013-03-19,"DIESEL","H-DIESEL",23.917155,0.005,5e-04,2.2,0.25,1.84608585,1.65538238317757,0.11587676682243,29.99,26.372655,29.7235
"9",2013-03-20,"DIESEL","H-DIESEL",23.744825,0.005,5e-04,2.2,0.25,1.83402275,1.82771238317757,0.12793986682243,29.99,26.200325,29.5128
"10",2013-03-21,"DIESEL","H-DIESEL",23.381735,0.005,5e-04,2.2,0.25,1.80860645,2.19080238317757,0.15335616682243,29.99,25.837235,29.3416
"11",2013-03-22,"DIESEL","H-DIESEL",23.313335,0.005,5e-04,2.8,0.25,1.84581845,1.65920238317757,0.11614416682243,29.99,26.368835,29.3087
