"filename","year","date","net_oil","net_lpg","net_total"
"thaanakngthun_chud_2_tameplate_58-04-19.pdf","2558",2015-04-19,34071,6547,40618
"thaanakngthun_chud_2_tameplate_58-04-26_3.pdf","2558",2015-04-26,34550,6592,41142
"thaanakngthun_chud_2_tameplate_58-05-03.pdf","2558",2015-05-03,34983,6735,41718
"thaanakngthun_chud_2_tameplate_58-05-10.pdf","2558",2015-05-10,35049,6780,41829
"thaanakngthun_chud_2_tameplate_58-05-17.pdf","2558",2015-05-17,35036,6909,41945
"thaanakngthun_chud_2_tameplate_58-05-24.pdf","2558",2015-05-24,35047,6944,41990
"thaanakngthun_chud_2_tameplate_58-05-31.pdf","2558",2015-05-31,35057,6963,42020
"thaanakngthun_chud_2_tameplate_58-06-07.pdf","2558",2015-06-07,35063,6999,42062
"thaanakngthun_chud_2_tameplate_58-06-14.pdf","2558",2015-06-14,35086,7071,42157
"thaanakngthun_chud_2_tameplate_58-06-21.pdf","2558",2015-06-21,35136,7328,42464
"thaanakngthun_chud_2_tameplate_58-06-28.pdf","2558",2015-06-28,35150,7395,42545
"thaanakngthun_chud_2_tameplate_58-07-05.pdf","2558",2015-07-05,35157,7454,42611
"thaanakngthun_chud_2_tameplate_58-07-12.pdf","2558",2015-07-12,35165,7511,42676
"thaanakngthun_chud_2_tameplate_58-07-19.pdf","2558",2015-07-19,35167,7692,42859
"thaanakngthun_chud_2_tameplate_58-07-26.pdf","2558",2015-07-26,35171,7742,42912
"thaanakngthun_chud_2_tameplate_58-08-02.pdf","2558",2015-08-02,35175,7816,42991
"thaanakngthun_chud_2_tameplate_58-08-09.pdf","2558",2015-08-09,35178,7828,43006
"thaanakngthun_chud_2_tameplate_58-08-16.pdf","2558",2015-08-16,35254,8016,43270
"thaanakngthun_chud_2_tameplate_58-08-23.pdf","2558",2015-08-23,35261,8059,43320
"thaanakngthun_chud_2_tameplate_58-08-30.pdf","2558",2015-08-30,35255,8095,43350
"thaanakngthun_chud_2_tameplate_58-09-06.pdf","2558",2015-09-06,35288,8164,43452
"thaana_58-09-13.pdf","2558",2015-09-13,35423,8197,43620
"thaanakngthun_chud_2_tameplate_58-09-20.pdf","2558",2015-09-20,35393,8217,43610
"thaanakngthun_chud_2_tameplate_58-09-27.pdf","2558",2015-09-27,35391,8221,43612
"thaanakngthun_chud_2_tameplate_58-10-04.pdf","2558",2015-10-04,35366,8254,43620
"thaanakngthun_chud_2_tameplate_58-10-11.pdf","2558",2015-10-11,35307,8199,43506
"thaanakngthun_chud_2_tameplate_58-10-18.pdf","2558",2015-10-18,35295,8183,43478
"thaanakngthun_chud_2_tameplate_58-10-25.pdf","2558",2015-10-25,35254,8148,43402
"thaanakngthun_chud_2_tameplate_58-11-01.pdf","2558",2015-11-01,35224,8135,43359
"thaanakngthun_chud_2_tameplate_58-11-08.pdf","2558",2015-11-08,35182,8080,43262
"thaanakngthun_chud_2_tameplate_58-11-15.pdf","2558",2015-11-15,35178,8071,43249
"thaanakngthun_chud_2_tameplate_58-11-22.pdf","2558",2015-11-22,35176,8011,43187
"thaanakngthun_chud_2_tameplate_58-11-29.pdf","2558",2015-11-29,35142,7937,43079
"thaanakngthun_chud_2_tameplate_58-12-06.pdf","2558",2015-12-06,35109,7854,42963
"thaanakngthun_chud_2_tameplate_58-12-11.pdf","2558",2015-12-13,35101,7732,42833
"thaanakngthun_chud_2_tameplate_58-12-20.pdf","2558",2015-12-20,35014,7607,42621
"thaanakngthun_chud_2_tameplate_58-12-27.pdf","2558",2015-12-27,35122,7495,42617
"thaanakngthun_chud_2_tameplate_59-01-03.pdf","2559",2016-01-03,35129,7362,42491
"thaanakngthun_chud_2_tameplate_59-01-10.pdf","2559",2016-01-10,35044,7293,42337
"thaanakngthun_chud_2_tameplate_59-01-17.pdf","2559",2016-01-17,34944,7281,42225
"thaanakngthun_chud_2_tameplate_59-01-24.pdf","2559",2016-01-24,35182,7287,42469
"thaanakngthun_chud_2_tameplate_59-01-31.pdf","2559",2016-01-31,35428,7291,42719
"thaanakngthun_chud_2_tameplate_59-02-07_0.pdf","2559",2016-02-07,35716,7260,42976
"59-02-14.pdf","2559",2016-02-14,35846,7238,43084
"thaanakngthun_chud_2_tameplate_59-02-21.pdf","2559",2016-02-21,36179,7235,43414
"thaanakngthun_chud_2_tameplate_59-02-28.pdf","2559",2016-02-28,36432,7188,43620
"thaanakngthun_chud_2_tameplate_59-03-06.pdf","2559",2016-03-06,36770,7174,43944
"thaanakngthun_chud_2_tameplate_59-03-13.pdf","2559",2016-03-13,37022,7132,44154
"thaanakngthun_chud_2_tameplate_59-03-20.pdf","2559",2016-03-20,37263,7278,44541
"thaanakngthun_chud_2_tameplate_59-03-27.pdf","2559",2016-03-27,37291,7244,44535
"thaanakngthun_chud_2_tameplate_59-04-03.pdf","2559",2016-04-03,37294,7213,44507
"thaanakngthun_chud_2_tameplate_59-04-10.pdf","2559",2016-04-10,37346,7197,44543
"thaanakngthun_chud_2_tameplate_59-04-17.pdf","2559",2016-04-17,37234,7496,44730
"thaanakngthun_chud_2_tameplate_59-04-24.pdf","2559",2016-04-24,37378,7515,44893
"thaanakngthun_chud_2_tameplate_59-05-01.pdf","2559",2016-05-01,37192,7623,44815
"thaanakngthun_chud_2_tameplate_59-05-08.pdf","2559",2016-05-08,37253,7602,44855
"thaanakngthun_chud_2_tameplate_59-05-15.pdf","2559",2016-05-15,37330,7618,44948
"thaanakngthun_chud_2_tameplate_59-05-22.pdf","2559",2016-05-22,37306,7551,44857
"thaanakngthun_chud_2_tameplate_59-05-29.pdf","2559",2016-05-29,37339,7504,44843
"thaanakngthun_chud_2_tameplate_59-06-05.pdf","2559",2016-06-05,37371,7481,44852
"thaanakngthun_chud_2_tameplate_59-06-12.pdf","2559",2016-06-12,37356,7419,44775
"thaanakngthun_chud_2_tameplate_59-06-19.pdf","2559",2016-06-19,37358,7234,44592
"thaanakngthun_chud_2_tameplate_59-06-26.pdf","2559",2016-06-26,37339,7179,44518
"thaanakngthun_chud_2_tameplate_59-07-03.pdf","2559",2016-07-03,37333,7128,44461
"thaanakngthun_chud_2_tameplate_59-07-10.pdf","2559",2016-07-10,37328,7122,44450
"thaanakngthun_chud_2_tameplate_59-07-17.pdf","2559",2016-07-17,37239,7124,44363
