date,ULG95_SG,DIESEL_SG,DUBAI
2002-02-01,22.8,,19.09
2002-02-04,23.35,,18.73
2002-02-05,23.15,,18.48
2002-02-06,23.55,,18.23
2002-02-07,23.8,,18.29
2002-02-08,25.3,,18.64
2002-02-11,25.3,,19.82
2002-02-12,,,19.1
2002-02-13,,,19.3
2002-02-14,24.6,,19.22
2002-02-15,24.95,,19.41
2002-02-18,23.9,,18.79
2002-02-19,23.8,,18.74
2002-02-20,24.35,,18.53
2002-02-21,23.4,,18.79
2002-02-22,24.1,,18.85
2002-02-25,24.1,,18.89
2002-02-26,24.4,,19.67
2002-02-27,24.83,,19.58
2002-02-28,25.2,,20.25
2002-03-01,25.1,,20.76
2002-03-04,25.7,,20.9
2002-03-05,26.0,,21.72
2002-03-06,27.1,,21.84
2002-03-07,27.25,,22.27
2002-03-08,27.2,,22.46
2002-03-11,27.7,,23.0
2002-03-12,27.45,,22.9
2002-03-13,27.7,,22.82
2002-03-14,27.4,,23.35
2002-03-15,28.6,,23.21
2002-03-18,28.4,,23.56
2002-03-19,29.7,,23.36
2002-03-20,29.7,,23.22
2002-03-21,28.95,,23.96
2002-03-22,29.3,,24.01
2002-03-25,29.05,,23.86
2002-03-26,27.5,,23.83
2002-03-27,29.1,,23.88
2002-03-28,29.7,,24.4
2002-04-01,31.2,,24.63
2002-04-02,31.05,,25.86
2002-04-03,31.3,,25.59
2002-04-04,31.8,,24.96
2002-04-05,30.5,,24.83
2002-04-08,30.7,,24.94
2002-04-09,31.0,,24.05
2002-04-10,31.3,,24.19
2002-04-11,30.55,,23.29
2002-04-12,29.4,,21.98
2002-04-15,29.15,,22.92
2002-04-16,29.1,,23.52
2002-04-17,29.9,,24.29
2002-04-18,30.1,,24.58
2002-04-19,29.45,,24.73
2002-04-22,30.35,,24.785
2002-04-23,29.65,,24.765
2002-04-24,29.1,,24.5
2002-04-25,28.85,,24.81
2002-04-26,29.1,,25.09
2002-04-29,29.33,,25.6
2002-04-30,29.63,,25.45
2002-05-01,29.63,,24.58
2002-05-02,29.4,,24.33
2002-05-03,30.1,,24.55
2002-05-06,29.7,,24.2
2002-05-07,29.5,,24.54
2002-05-08,29.75,,25.01
2002-05-09,30.45,,25.15
2002-05-10,30.45,,25.43
2002-05-13,30.15,,25.77
